timestamp	name	type
2019-03-29 18:58:51.65196	Jever Fun Alkoholfrei	saft
2019-03-29 13:43:14.045387	Mio-Mio Banana	mate
2019-03-29 13:18:46.998076	MIO-MIO-MATE	mate
2019-03-29 13:00:13.76628	Mio Mio Cola	cola
2019-03-29 12:53:48.10165	MIO-MIO-MATE	mate
2019-03-28 20:25:29.892401	Jever Fun Alkoholfrei	saft
2019-03-28 18:03:48.340739	Mio Mio Cola	cola
2019-03-28 14:30:22.087738	MIO-MIO-MATE	mate
2019-03-28 06:30:57.956189	MIO-MIO-MATE	mate
2019-03-27 21:17:02.824735	MIO MIO Ginger	mate
2019-03-27 13:42:43.212371	MIO-MIO-MATE	mate
2019-03-27 13:42:27.73011	MIO-MIO-MATE	mate
2019-03-27 13:19:24.275446	MIO-MIO-MATE	mate
2019-03-27 02:20:44.965009	Esch-weger	bier
2019-03-27 02:19:32.15529	Esch-weger	bier
2019-03-27 01:11:26.151132	Fortuna Apfelschorle	saft
2019-03-27 01:10:41.819725	Esch-weger	bier
2019-03-27 00:40:00.12886	Esch-weger	bier
2019-03-27 00:05:13.867681	Esch-weger	bier
2019-03-26 23:58:33.036146	MIO-MIO-MATE	mate
2019-03-26 23:40:04.121158	Krombacher Radler Naturtrüb	bier
2019-03-26 23:05:26.05815	Esch-weger	bier
2019-03-26 23:05:06.615534	Krombacher Radler	bier
2019-03-26 23:04:15.54619	BECKS	bier
2019-03-26 22:34:35.115223	Esch-weger	bier
2019-03-26 22:30:34.657522	Esch-weger	bier
2019-03-26 22:28:06.571425	Köstritzer	bier
2019-03-26 22:18:55.928133	BECKS	bier
2019-03-26 22:06:40.657363	Krombacher Radler	bier
2019-03-26 21:50:14.299953	Esch-weger	bier
2019-03-26 21:22:30.599114	Fortuna Apfelschorle	saft
2019-03-26 21:21:13.447675	Mio Mio Cola	cola
2019-03-26 21:11:54.087027	BECKS	bier
2019-03-26 21:10:53.295532	MIO-MIO-MATE	mate
2019-03-26 21:10:36.273992	MIO-MIO-MATE	mate
2019-03-26 20:58:08.16197	Esch-weger	bier
2019-03-26 20:57:15.805265	Esch-weger	bier
2019-03-26 20:50:49.069762	MIO MIO Ginger	mate
2019-03-26 20:50:24.030198	Mio Mio Cola	cola
2019-03-26 20:50:07.879678	Jever Fun Alkoholfrei	saft
2019-03-26 20:49:53.582297	Jever Fun Alkoholfrei	saft
2019-03-26 20:46:46.259486	Esch-weger	bier
2019-03-26 20:34:40.462717	Krombacher Radler	bier
2019-03-26 20:34:28.929776	Krombacher Radler	bier
2019-03-26 20:33:53.183672	Krombacher Radler Naturtrüb	bier
2019-03-26 20:32:46.282996	Esch-weger	bier
2019-03-26 20:32:04.736526	Krombacher Radler Naturtrüb	bier
2019-03-26 20:30:48.033761	BECKS	bier
2019-03-26 20:29:26.638168	Caldener Medium	wasser
2019-03-26 20:20:26.543193	MIO-MIO-MATE	mate
2019-03-26 20:04:16.576234	Jacobinus Bierspezialität	bier
2019-03-26 20:03:37.181257	Krombacher Radler Naturtrüb	bier
2019-03-26 19:59:08.669772	Köstritzer	bier
2019-03-26 19:47:14.659317	Krombacher Radler Naturtrüb	bier
2019-03-26 19:45:08.12983	Krombacher Radler	bier
2019-03-26 19:29:54.164297	Köstritzer	bier
2019-03-26 19:01:40.916468	MIO-MIO-MATE	mate
2019-03-26 18:50:11.788935	Waldecker Sport	saft
2019-03-26 18:49:36.995706	Fortuna Apfelschorle	saft
2019-03-26 18:32:50.366273	Jever Fun Alkoholfrei	saft
2019-03-26 18:19:13.668651	Jacobinus Bierspezialität	bier
2019-03-26 18:15:17.863457	Fortuna Apfelschorle	saft
2019-03-26 18:15:01.442312	JEVER	bier
2019-03-26 18:14:47.069262	JEVER	bier
2019-03-26 18:10:43.336195	Jacobinus Bierspezialität	bier
2019-03-26 17:58:46.805052	JEVER	bier
2019-03-26 17:33:13.52333	MIO-MIO-MATE	mate
2019-03-26 16:09:01.697888	Mio Mio Cola	cola
2019-03-26 15:11:53.603183	Mio-Mio Banana	mate
2019-03-26 14:16:27.262107	Mio-Mio Banana	mate
2019-03-26 14:15:47.946053	Köstritzer	bier
2019-03-26 14:04:11.013991	Mio Mio Cola	cola
2019-03-26 09:08:02.1252	MIO-MIO-MATE	mate
2019-03-25 22:47:04.320831	Mio Mio Cola	cola
2019-03-25 21:15:15.305552	MIO MIO Ginger	mate
2019-03-25 20:01:47.839553	Jever Fun Alkoholfrei	saft
2019-03-25 19:06:27.967226	Jever Fun Alkoholfrei	saft
2019-03-25 18:46:20.412821	Mio Mio Cola	cola
2019-03-25 16:07:15.970306	Mio Mio Cola	cola
